                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0363,                0.85697,                 1.2413,                0.59219,                0.62346,                0.61652,                0.37864,                  1.255,                0.99642,                 1.4611,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.0078,                0.84683,                 1.2243,                0.61824,                0.65255,                0.60074,                0.38869,                 1.2031,                 1.0456,                 1.4466,             0.00055188,             0.00055188,             0.00055188
                     64,                0.95841,                0.79525,                 1.1971,                0.60066,                0.59942,                0.66957,                0.43873,                 1.3218,                 1.1069,                 1.5191,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.0059,                0.80956,                 1.2264,                0.66852,                0.58039,                0.69087,                0.44427,                  1.219,                 1.0974,                 1.4694,             0.00052359,             0.00052359,             0.00052359
                     66,                0.94344,                0.77209,                 1.1583,                0.69235,                0.58638,                 0.6856,                0.45922,                 1.3206,                  1.017,                 1.5565,             0.00050944,             0.00050944,             0.00050944
                     67,                0.99052,                0.79497,                 1.1724,                0.66705,                0.60891,                0.65923,                0.43924,                 1.2076,                 1.0121,                 1.4505,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.0592,                0.84425,                 1.2232,                0.74521,                0.61331,                0.67557,                0.43608,                 1.2418,                0.93392,                 1.4878,             0.00048114,             0.00048114,             0.00048114
                     69,                0.97165,                0.81337,                 1.2008,                 0.6346,                0.59066,                0.69717,                0.46955,                 1.3003,                 0.9829,                 1.5045,               0.000467,               0.000467,               0.000467
                     70,                0.99158,                0.80491,                    1.2,                0.67943,                0.62434,                0.68169,                0.45698,                  1.183,                0.90335,                 1.4378,             0.00045285,             0.00045285,             0.00045285
                     71,                0.95151,                0.78091,                 1.1839,                0.59407,                0.56669,                0.66935,                0.45955,                 1.1338,                0.95062,                 1.4134,              0.0004387,              0.0004387,              0.0004387
                     72,                0.98265,                0.79295,                 1.2129,                0.67053,                0.63445,                0.67931,                0.46863,                 1.2034,                0.93557,                 1.4614,             0.00042456,             0.00042456,             0.00042456
                     73,                0.96477,                0.74517,                 1.1809,                0.60273,                0.60246,                0.65755,                0.43652,                 1.2813,                 1.0369,                 1.5306,             0.00041041,             0.00041041,             0.00041041
                     74,                0.92393,                 0.7389,                 1.1647,                0.61806,                0.60746,                0.68037,                0.48507,                 1.2051,                   1.02,                 1.4512,             0.00039626,             0.00039626,             0.00039626
                     75,                0.91978,                0.73758,                 1.1785,                0.65811,                0.60945,                 0.6805,                0.47223,                 1.1609,                0.95479,                 1.4393,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.0012,                0.79193,                 1.2474,                 0.6336,                0.64064,                0.68416,                 0.4567,                 1.2273,                0.89348,                 1.4563,             0.00036797,             0.00036797,             0.00036797
